"Created at:","Jan 5, 2025"
"Applied Filters:"
"Area Median Income","30 - 60%; 60 - 80%; 80 - 100%; 100 - 150%; 150%+"
"Building Age","Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 19; 2020+"
"Heating Fuel Type","Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None"
"Building Type","1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer"
Rent/Own,"Renter-occupied; Owner-occupied"

"Geography ID",Name,State,"Energy Burden (% income)","Energy Burden (% income) (Electricity)","Energy Burden (% income) (Gas)","Energy Burden (% income) (Other)","Avg. Annual Energy Cost ($)","Avg. Annual Energy Cost ($) (Electricity)","Avg. Annual Energy Cost ($) (Gas)","Avg. Annual Energy Cost ($) (Other)","Total Households","Household Income","Black/ African American (% pop.)","American Indian/ Native Alaskan (% pop.)","Asian (% pop.)","Native Hawaiian/ Other Pacific Islander (% pop.)","White Hispanic or Latino (% pop.)","White Non-Hispanic or Latino (% pop.)","Two or More Races (% pop.)","Other Races (% pop.)","Less Than High School (% pop.)","High School (% pop.)","Associates or Some College (% pop.)","Bachelors or Higher (% pop.)"
4173700,Tillamook,Oregon,2,2,0,0,1512,1239,107,166,205,75790,2,1,2,0,14,62,13,6,11,38,31,20
4174000,Toledo,Oregon,2,2,0,0,1935,1501,196,238,58,91273,0,3,0,0,7,82,9,0,8,22,41,29
4174850,Troutdale,Oregon,2,1,1,0,2033,1380,586,67,4517,111186,2,1,4,0,7,72,7,6,5,25,43,27
4174950,Tualatin,Oregon,1,1,0,0,1800,1322,457,21,6724,132615,2,2,4,2,6,65,13,7,4,16,33,47
4175650,Umatilla,Oregon,2,1,0,0,1731,1306,356,69,310,98266,0,2,0,0,17,65,6,9,10,31,38,22
4177050,Veneta,Oregon,2,2,0,0,2108,1914,93,101,207,97532,0,1,4,0,4,77,13,1,8,15,49,28
4178900,Warrenton,Oregon,2,1,1,0,1442,866,503,73,1050,88012,0,0,3,0,4,77,10,6,9,27,44,21
4180150,"West Linn",Oregon,1,1,0,0,2463,1508,914,41,7714,210216,1,0,6,0,3,81,7,2,1,7,22,70
4182800,Wilsonville,Oregon,1,1,0,0,1773,1281,462,30,4899,131366,2,1,5,2,5,69,13,2,3,13,30,55
4183400,Winston,Oregon,2,2,1,0,1714,1142,435,137,245,70651,0,1,0,0,7,81,8,2,8,34,38,19
4183750,Woodburn,Oregon,2,2,0,0,2108,1613,435,60,5657,89274,0,2,1,0,18,36,18,25,27,29,25,19
4183950,"Wood Village",Oregon,2,1,0,0,1938,1393,476,69,962,97875,5,4,4,1,23,37,16,10,19,27,36,18
5300100,Aberdeen,Washington,3,2,0,0,2127,1694,285,148,4692,82882,0,2,1,1,8,69,13,6,11,34,35,19
5300905,"Airway Heights",Washington,2,2,0,0,1582,1197,359,26,975,76179,7,6,5,5,5,56,13,2,8,19,57,16
5301290,Algona,Washington,2,1,0,0,1999,1493,470,36,1220,113041,14,1,12,5,6,41,12,8,16,26,38,20
5301990,Anacortes,Washington,2,1,1,0,1953,956,945,52,6430,119636,1,1,2,0,3,86,7,1,4,16,32,49
5302585,Arlington,Washington,1,1,0,0,1859,1149,605,105,5209,130312,2,1,6,0,6,68,11,6,6,27,40,27
5303180,Auburn,Washington,2,1,0,0,1969,1332,544,93,24536,122010,8,2,11,3,5,50,12,10,8,24,37,31
5303736,"Bainbridge Island",Washington,1,1,0,0,2440,1550,530,360,9362,203712,0,0,4,0,1,86,6,2,0,4,17,78
5304475,"Battle Ground",Washington,1,1,0,0,1732,1272,399,61,4346,123227,1,0,1,0,3,86,8,0,6,26,40,29
5305210,Bellevue,Washington,1,1,0,0,2113,1305,769,39,54874,234889,3,0,40,0,3,44,7,3,2,6,16,76
5305280,Bellingham,Washington,1,1,1,0,1524,869,629,26,26219,103613,1,1,6,0,4,76,8,4,4,15,33,48
5305560,"Benton City",Washington,2,1,0,0,1720,1473,181,66,70,99225,0,1,0,0,9,64,13,14,14,30,38,17
5306330,"Black Diamond",Washington,1,1,0,0,2508,1546,821,141,1101,177057,1,0,8,0,2,77,5,6,2,14,33,51
5306505,Blaine,Washington,3,2,1,0,2586,1715,810,61,1622,102020,3,1,5,1,2,70,17,1,5,36,28,31
5307170,"Bonney Lake",Washington,2,1,0,0,2222,1513,636,73,5733,145721,1,0,4,1,3,79,10,2,4,23,44,30
5307380,Bothell,Washington,1,1,0,0,1911,1225,623,63,18188,181332,1,0,21,0,3,63,9,4,2,10,27,61
5307695,Bremerton,Washington,2,1,0,0,1703,1027,440,236,14869,103522,5,1,5,2,4,65,12,5,4,19,47,31
5307835,Brewster,Washington,3,2,0,0,2193,1915,114,164,13,80781,2,1,1,0,16,30,14,36,28,33,27,12
5307870,Bridgeport,Washington,2,2,0,0,1693,1629,45,19,10,74146,0,2,0,0,5,30,18,45,31,26,27,16
5307940,Brier,Washington,1,1,0,0,2014,1190,796,28,2345,192614,5,0,14,0,2,71,7,1,5,12,32,51
5308570,Buckley,Washington,1,1,0,0,2211,1435,674,102,656,148714,0,4,1,0,2,89,4,0,4,26,42,29
5308850,Burien,Washington,2,1,0,0,2352,1384,485,483,15483,131696,7,1,14,0,4,51,11,12,10,19,36,35
5308920,Burlington,Washington,2,1,1,0,1802,975,759,68,2607,94073,2,1,4,2,6,66,6,15,6,35,38,22
5309480,Camas,Washington,1,1,0,0,1820,1069,731,20,8902,164083,2,1,11,0,2,73,10,1,3,14,27,56
5310495,Cashmere,Washington,1,1,0,0,872,747,50,75,401,99137,0,1,0,0,1,75,9,14,10,22,43,25
5310565,"Castle Rock",Washington,2,2,0,0,1760,1486,168,106,93,96866,0,1,0,2,2,87,7,1,7,30,45,17
5311160,Centralia,Washington,2,2,0,0,1766,1407,290,69,2814,81679,1,1,1,0,5,77,12,2,7,22,50,22
5311475,Chehalis,Washington,2,2,0,0,1706,1382,266,58,1428,81749,3,0,2,0,4,77,9,5,7,26,43,24
5311615,Chelan,Washington,1,1,0,0,832,748,64,20,307,114795,0,1,3,0,1,72,12,12,23,19,23,36
5311825,Cheney,Washington,2,2,0,0,1769,1446,216,107,1748,85845,3,1,2,0,3,77,11,3,2,16,45,36
5312140,Chewelah,Washington,3,2,1,0,2117,1437,472,208,245,83512,0,1,0,2,2,82,5,7,8,34,32,25
5312630,Clarkston,Washington,2,1,1,0,1859,1126,674,59,2263,76563,1,1,4,0,3,82,8,1,4,29,46,21
5312945,"Cle Elum",Washington,3,2,1,1,2683,1735,517,431,699,85683,0,1,1,0,2,81,4,12,16,35,34,15
5313365,"Clyde Hill",Washington,1,1,0,0,3546,1888,1403,255,751,340093,0,0,31,0,1,59,9,0,0,2,19,79
5313785,Colfax,Washington,2,1,1,0,2106,1217,611,278,37,97001,1,0,1,0,2,87,7,2,4,21,41,34
5313855,"College Place",Washington,2,1,0,0,1751,1292,435,24,2271,98184,0,0,2,0,7,75,7,9,5,7,43,45
5314170,Colville,Washington,2,2,1,0,1877,1182,492,203,1006,76708,1,1,0,1,2,83,12,0,5,35,31,29
5314485,Connell,Washington,2,2,0,0,2085,1763,287,35,38,90039,5,0,2,0,16,41,12,24,24,35,30,11
5315290,Covington,Washington,2,1,1,0,2505,1519,840,146,5824,161485,5,0,13,1,3,64,11,2,4,23,38,35
5316970,Dayton,Washington,3,2,0,1,2626,1789,177,660,15,96233,1,0,0,0,0,81,13,4,7,19,42,31
5317320,"Deer Park",Washington,2,2,1,0,2152,1404,584,164,792,86987,0,1,0,2,0,87,9,1,4,28,52,16
5317635,"Des Moines",Washington,2,1,0,0,1960,1312,461,187,10434,120154,9,0,12,3,3,50,10,12,8,20,35,37
5318965,DuPont,Washington,1,1,0,0,1724,1124,585,15,3030,139667,8,1,11,1,4,61,11,3,1,6,38,55
5319035,Duvall,Washington,1,1,0,0,2823,1705,1051,67,365,219211,0,1,8,0,2,76,9,4,1,7,33,59
5320155,"East Wenatchee",Washington,1,1,0,0,907,836,51,20,4026,103321,1,0,1,0,3,60,9,25,15,30,37,19
5320260,Eatonville,Washington,2,1,0,0,2470,1787,385,298,20,134392,1,2,1,0,4,79,12,1,7,31,33,30
5320645,Edgewood,Washington,2,1,0,0,2153,1537,489,127,4031,142934,2,1,6,3,2,76,8,2,1,17,45,37
5320750,Edmonds,Washington,1,1,0,0,1680,1012,578,90,16595,153639,2,1,10,1,2,75,7,2,1,13,30,56
5321240,Ellensburg,Washington,2,2,0,0,1842,1460,317,65,3465,81221,1,0,2,1,3,77,10,6,4,17,44,36
5321450,Elma,Washington,2,2,0,0,2272,1639,275,358,193,100966,0,0,0,0,2,75,18,5,3,36,42,19
5322045,Enumclaw,Washington,1,1,0,0,2038,1374,562,102,2471,156217,0,1,3,1,4,80,9,2,2,29,27,42
5322080,Ephrata,Washington,2,2,0,0,1315,1209,69,37,1067,80518,1,0,1,0,9,61,8,20,11,25,49,15
5322640,Everett,Washington,1,1,0,0,1552,1105,375,72,36248,115265,6,1,10,1,5,59,11,7,7,21,40,33
5322745,Everson,Washington,2,1,1,0,2538,1303,1088,147,82,110048,0,4,3,0,2,74,7,10,10,29,37,24
5323515,"Federal Way",Washington,1,1,0,0,1812,1282,473,57,30593,122565,15,1,15,2,4,40,13,10,7,23,37,33
5323620,Ferndale,Washington,2,1,1,0,1955,988,926,41,1983,113214,0,1,6,0,5,75,7,5,4,24,41,32
5323795,Fife,Washington,1,1,0,0,1523,1104,371,48,4263,117786,9,2,16,7,5,45,13,4,6,20,45,29
5323970,Fircrest,Washington,1,1,0,0,1945,1105,703,137,2556,142441,4,2,5,0,3,72,11,2,3,21,31,45
5324810,Forks,Washington,3,2,0,0,2202,1777,110,315,247,80949,1,3,3,0,8,62,20,3,13,36,34,16
